Optimal Profit [€],Contract Defaulting [€],Profit Percentage [%],EBITDA [€],Short Exposure [%],Long Exposure [%],Revenue Exposure [%],Cost Exposure [%],Balancing Exposure [%],Scope 2 Emissions [tCO2/MWh],Hydrogen Produced [tH2],Episode Runtime [s],Scope 2 Emissions Optimal [tCO2/MWh]
34628065.24300404,5488628.808429593,74.36870937245034,25752445.201872163,0.005098812510096969,0.10725389617184845,0.10676541520079502,0.004554435675425458,0.10788356162403041,0.013062143974514506,28006.12985816013,384.31580662727356,0.014032990240290172
34612758.503769815,0.0,87.05440016744754,30131929.296864003,0.007493126397610764,0.10484734511620113,0.10414352944704248,0.006712765767970775,0.1337621546489012,0.013891439471683292,28282.9090909091,402.9695701599121,0.01253179917772979
35036877.020787984,821904.6022324902,90.9329419747945,31860063.051093247,0.00337653758792686,0.10014388940195282,0.09983950948766387,0.0030394257313815826,0.053709745341323355,0.01418558063850378,28241.813860797476,399.24610233306885,0.013667458517602907
36343020.79050207,0.0,89.57283111677623,32553472.635411292,0.004943415719310658,0.11114201147370417,0.11065338561932389,0.0043964100334451485,0.09879325146483513,0.010678022245533195,28396.295295137035,367.1079168319702,0.009080242083944015
32061947.642119303,5862593.626346206,74.87396115547176,24006050.2232481,0.0038921228421342252,0.08857781959851,0.08826349319077509,0.003548590484159851,0.0848697245451674,0.01875715423174589,27987.242746144133,376.8016951084137,0.019565983893659517
40632297.585766554,0.0,86.12355756868448,34993980.20275685,0.00872594656827776,0.14121128894942817,0.14015178211617899,0.007502989606083077,0.09590279844192684,0.0042213131794300056,28408.4196240853,377.9373359680176,0.0011013162955232176
41114504.80037898,0.0,91.8961698457574,37782655.16259834,0.004325574329156485,0.13508132516411553,0.13457565398661617,0.003743457334942532,0.05878616900022246,0.004891618154638269,28291.029605456803,385.0918471813202,0.0032063397507606744
36255879.90547973,0.0,90.96622167636849,32980604.08553663,0.00631180827276116,0.10106568024288286,0.10049187753811996,0.0056775228087707534,0.08075300041580756,0.014242468916095064,28380.06203765161,367.3497750759125,0.012936764499499378
33290194.150739595,0.0,91.39755721057276,30426424.24443297,0.005614363612578992,0.09038303559279053,0.08992122228170481,0.005109513174201961,0.08405404801462558,0.01826946733932597,28282.909090909096,367.08716678619385,0.01725620629067798
34162363.038198695,0.0,88.91514798166962,30375515.649449572,0.004723109384581829,0.0954262925600797,0.09501840937712494,0.004274327043544693,0.11539227544407647,0.01470021248089807,28333.141316197936,386.14624428749084,0.01357249420783561
35382338.34556852,0.0,89.6048405465422,31704287.856184736,0.007300605590850806,0.10891988972655982,0.10821075572448424,0.006510601542618445,0.08559043642983807,0.013530008005494292,28365.507881260863,388.50957465171814,0.011594862207994097
41171267.075763375,3609293.662830204,82.41834990429034,33932678.95853254,0.0059958829246277365,0.1431265229968302,0.1423905484006968,0.0051421258668436194,0.06699376992110695,0.003803457768655309,28101.04577460455,356.72909331321716,0.003961698434262944
34173160.674195364,0.0,87.61705154496599,29941515.8024538,0.003443969032768516,0.08551082393699717,0.0852414306214124,0.0031504001853994855,0.08933304510029386,0.019599078813450722,28442.56611158804,380.50870418548584,0.01701134067985653
33099756.698059782,0.0,83.94476451723283,27785512.815963283,0.005332759531369682,0.07480103838108651,0.07443183298746173,0.0049358324645684785,0.10986388047198506,0.019918325037953738,28831.68410102817,446.70464515686035,0.015562060637740452
30639938.683592603,11777954.012395337,59.11244607506672,18112017.231772184,0.006232324239166338,0.08829610728101603,0.08779412954026306,0.005685162757576047,0.08907724963129268,0.02000512729531815,27688.487171091147,406.4240303039551,0.023158776089484693
35791250.99880803,0.0,91.07392373852171,32596496.63971731,0.003152241396090226,0.10533025213568624,0.10503309951456503,0.0028211517118407496,0.057025039947214105,0.012981826941431676,28345.648799066585,383.28376269340515,0.011403682067346788
35632137.27954121,537271.9376584743,88.69367807388038,31603453.129559398,0.006673595508896901,0.11304109781361435,0.1123714792343745,0.005923673709750279,0.08472039320169575,0.011815869411725794,28256.04549402617,334.68092131614685,0.01088768493574831
37564897.08909613,0.0,83.9997136461714,31554405.98631972,0.00780065589553899,0.12281965197362367,0.12197844248643297,0.006849144039028534,0.09327142825214248,0.008480409302798912,28704.26874348658,332.79922318458557,0.0038260531043211978
36637421.936648846,0.0,88.31028558402807,32354611.942879945,0.005821372026603544,0.11587377915394141,0.11527699422556213,0.005150301757107918,0.08585161007302344,0.011016752356050891,28467.91044021006,339.9269962310791,0.008830191147308559
36758596.2821123,901286.6309966426,88.76060183401646,32627151.285739273,0.0045632374582831575,0.11394484882958944,0.11348389822015982,0.00404538348301293,0.08909619896626633,0.010470172183461015,28237.692594394117,327.65681314468384,0.009574562309673164
