SolarPower,WindPower,NuclearPower
0.16541056095657647,0.37615286602058406,1.0
0.16999908109134387,0.3784386543250425,1.0
0.16625336051294134,0.37728226699845163,1.0
0.1673633313516589,0.3851801689881552,1.0
0.17380698358652796,0.3663702726603342,1.0
0.16567972175926965,0.4008861721270129,1.0
0.16019769020356942,0.39732190592070943,1.0
0.17247142403693394,0.3786622077127532,1.0
0.17135353208972728,0.37154292965364144,1.0
0.17381751392091851,0.3755692307228742,1.0
0.17032417862249657,0.3822163202867961,1.0
0.15954448529649304,0.39788625918776105,1.0
0.16894367400230925,0.37279933722169595,1.0
0.1743891844718157,0.3729512351334448,1.0
0.1666522321721314,0.3598975057077997,1.0
0.1714622678805744,0.3819584751039382,1.0
0.17012574163333227,0.38298212726579456,1.0
0.1705128964239626,0.3959058267936899,1.0
0.16481200007292288,0.3887134736201928,1.0
0.1734758969266175,0.38419979128497306,1.0
0.16652111494494426,0.3939442167789838,1.0
0.1716712941603031,0.3770584612024795,1.0
0.1723764148698558,0.37559617738938283,1.0
0.16885041853087607,0.36322750327844877,1.0
0.1657440114416071,0.3965643838330057,1.0
0.16899253274532097,0.3842540062124093,1.0
0.16635126302800746,0.35329100684382286,1.0
0.1629830316793194,0.38618435231864684,1.0
0.1710679977987558,0.3670493955587738,1.0
0.17226226102555348,0.3769079120650728,1.0
0.16796303188765552,0.3705225582000628,1.0
0.16994598158582785,0.3596214509366837,1.0
0.16947532815007055,0.38852537059891096,1.0
0.16921691218889753,0.37577531284327986,1.0
0.16793280178891273,0.36430740411878726,1.0
0.17108433897781766,0.3882911771911802,1.0
0.16368688666366035,0.399329123020084,1.0
0.17124643990983082,0.3695921872469068,1.0
0.16773740695373587,0.3748019281068477,1.0
0.17123238336484642,0.4323518292024591,1.0
0.1694357031225859,0.36096227254664226,1.0
0.17403368921661672,0.38976370192293625,1.0
0.1711130327191747,0.41741510625404527,1.0
0.16574468977047438,0.3764793295370362,1.0
0.1765862848049998,0.3543289950284703,1.0
0.1730028555170446,0.3935430581196618,1.0
0.16650346790380066,0.3830567113822804,1.0
0.1751194215836112,0.4175290604185076,1.0
0.16939862836482886,0.37121030551389944,1.0
0.17349059166359926,0.3749193066240369,1.0
