Optimal Profit [€],Contract Defaulting [€],Profit Percentage [%],EBITDA [€],Short Exposure [%],Long Exposure [%],Revenue Exposure [%],Cost Exposure [%],Balancing Exposure [%],Scope 2 Emissions [tCO2/MWh],Hydrogen Produced [tH2],Episode Runtime [s],Scope 2 Emissions Optimal [tCO2/MWh]
67027469.89637083,0.0,86.44086341599049,57939123.70431605,0.0,0.3746816785123268,0.37468167851232687,0.0,0.0,-0.0645037710551207,28327.529372891317,211.98391485214233,-0.06810947705734902
65399236.48050359,0.0,85.00459589920342,55592356.6914165,0.0,0.3829476064478728,0.38294760644787285,0.0,0.0,-0.06666224179976304,28286.909090909066,200.69108414649963,-0.07105392313257523
70126265.04609057,0.0,88.1827370206908,61839259.888026655,0.0,0.3776907293202662,0.3776907293202662,0.0,0.0,-0.06679223863854711,28282.909090909074,208.78728461265564,-0.06983046608243897
65840692.93786201,0.0,87.1816561156314,57401006.501235664,0.0,0.38404586447452027,0.3840458644745202,0.0,0.0,-0.06779714166414255,28362.708511199206,223.61945939064026,-0.07144894599892426
70775141.11552101,5711316.606980766,79.70090223851064,56408426.029649355,0.0,0.3832955342843982,0.38329553428439816,0.0,0.0,-0.06985855147013845,27994.8223935868,217.3257966041565,-0.07085515959132999
70302677.82903838,0.0,86.0205700049874,60474764.19730872,0.0,0.390600862874172,0.390600862874172,0.0,0.0,-0.07169664422375385,28580.627112529884,218.51558995246887,-0.07765389777647075
73686413.2910617,0.0,90.00803648272546,66323693.75783068,0.0,0.3879709126918245,0.38797091269182454,0.0,0.0,-0.07403866715964003,28283.409090909066,213.7913293838501,-0.07655895337036585
75967079.73963699,0.0,89.4582501908685,67958820.25618103,0.0,0.3854085738719367,0.3854085738719367,0.0,0.0,-0.07316187701255294,28310.97419347527,224.66309022903442,-0.0759334733447859
69567737.15610921,933397.6870743209,83.70510450405135,58231747.08762498,0.0,0.3795896227325132,0.3795896227325132,0.0,0.0,-0.06634659726353376,28235.8890057033,214.3568558692932,-0.06971192124468194
64944027.86195445,0.0,86.20538884462628,55985251.74976027,0.0,0.3837944932010621,0.38379449320106207,0.0,0.0,-0.06811502439634301,28332.957302933217,224.36568546295166,-0.07181047571366023
69205081.3863582,769664.1270026565,84.90051088970628,58755467.65865514,0.0,0.3873991277240879,0.3873991277240879,0.0,0.0,-0.07045166551610871,28244.279589545295,219.18001461029053,-0.07394620610263258
77397084.41429394,4929193.197275925,81.02266476247841,62709180.240925804,0.0,0.3931068083302103,0.3931068083302103,0.0,0.0,-0.07607625402139924,28034.323575895134,215.8667607307434,-0.07797859441334103
73451786.13048789,0.0,88.33477332975467,64883468.785022646,0.0,0.37023067037717033,0.37023067037717033,0.0,0.0,-0.06613868268347342,28578.35317255786,220.54464626312256,-0.07167316280043987
65655219.190645605,0.0,84.81653171836042,55686479.80959299,0.0,0.36858678750108514,0.36858678750108514,0.0,0.0,-0.06350674464773379,28944.716791714945,220.42092061042786,-0.07137873167480589
70667399.22481748,9265736.676489212,75.73259735829991,53518256.91851338,0.0,0.37321219635130903,0.37321219635130903,0.0,0.0,-0.065539477832921,27815.306228460115,222.6707775592804,-0.06574395419721754
69507033.50261271,0.0,88.23017857059486,61326179.778478384,0.0,0.38766932984217733,0.38766932984217733,0.0,0.0,-0.071487284414626,28282.909090909066,221.47940230369568,-0.07446535806042343
70056094.46262363,1335091.948458401,85.46071073552969,59870436.241312206,0.0,0.38844239937536224,0.3884423993753622,0.0,0.0,-0.07098360176336581,28215.74283088591,227.42972922325134,-0.07408618514999706
64138781.994423896,0.0,87.48801260093299,56113745.67336652,0.0,0.39167719020189246,0.3916771902018925,0.0,0.0,-0.070609760737029,28587.33643152555,224.56022596359253,-0.07604777834610986
69175288.55959556,0.0,86.78642807830428,60034762.05373284,0.0,0.3851441626330313,0.3851441626330313,0.0,0.0,-0.0695959634411269,28316.291038637122,240.00663328170776,-0.07302694691644761
69318961.33624184,383631.9373600418,86.65250487094195,60066616.34837333,0.0,0.39221591869025235,0.39221591869025235,0.0,0.0,-0.07266528014450487,28263.654952658566,265.72505831718445,-0.07575757399094561
