Optimal Profit [€],Contract Defaulting [€],Profit Percentage [%],EBITDA [€],Short Exposure [%],Long Exposure [%],Revenue Exposure [%],Cost Exposure [%],Balancing Exposure [%],Scope 2 Emissions [tCO2/MWh],Hydrogen Produced [tH2],Episode Runtime [s]
44803892.4700616,5995522.788040317,77.213393904857,34594605.97761723,0.0,0.1415051257659416,0.14150512576594157,0.0,0.0,0.0041349769526504345,27980.468546058564,181.77553129196167
45236810.78966111,323392.260822386,87.29264508844506,39488408.69195029,0.0,0.1421153071975925,0.1421153071975925,0.0,0.0,0.004045552853168508,28266.69736056452,202.4525351524353
45620215.23039836,2373249.6529373922,88.53317104225304,40389023.17977255,0.0,0.13835437958631921,0.13835437958631921,0.0,0.0,0.00420319973326666,28163.411633690033,209.49786758422852
45718040.83617416,0.0,91.11519106891853,41656080.26084629,0.0,0.14181883920301472,0.14181883920301475,0.0,0.0,0.00254643062438947,28395.361830031896,216.75049471855164
45572361.20336506,5298371.071208292,80.82942611647486,36835878.028407015,0.0,0.14202828105948645,0.14202828105948645,0.0,0.0,0.004416361907829736,28015.67822872685,206.7272276878357
48739050.9050273,0.0,88.86613472848295,43312510.64264545,0.0,0.15819806908020934,0.15819806908020934,0.0,0.0,-0.0015426122134067424,28335.840237261593,207.30225348472595
48369743.33478874,0.0,92.68352354262647,44830782.45120692,0.0,0.1481016135195936,0.1481016135195936,0.0,0.0,0.0009110035094721957,28282.909090909074,204.08809399604797
48252131.32889755,0.0,91.24615544806841,44028214.75937198,0.0,0.14388115673281293,0.14388115673281293,0.0,0.0,0.0026529616640270618,28337.792442741767,209.8302652835846
45165693.24133372,678170.3734086477,89.02691129842154,40209621.65927935,0.0,0.13699229352711415,0.13699229352711415,0.0,0.0,0.006338540348561924,28248.77927407027,219.15852451324463
45762196.95246926,0.0,89.94249875111372,41159663.42245686,0.0,0.14360796791611122,0.14360796791611122,0.0,0.0,0.00250612888430758,28299.360418313714,216.09290075302124
45893691.37524092,0.0,90.3683102238766,41473353.39516622,0.0,0.14586384818089376,0.1458638481808938,0.0,0.0,0.0033823300671987507,28298.789226505163,212.32194304466248
48484713.651105255,3437713.4734002696,84.1777854289635,40813358.22307476,0.0,0.1529186810452921,0.15291868104529208,0.0,0.0,0.0010389495915735152,28109.650834676748,207.95634865760803
45985491.59643699,0.0,89.66033792449386,41230747.161605135,0.0,0.12941631114632327,0.12941631114632327,0.0,0.0,0.00781612586939752,28421.69043940318,235.62934112548828
45129591.16895035,0.0,86.45742266958838,39017881.38599664,0.0,0.1282975674526005,0.1282975674526005,0.0,0.0,0.006615914845207716,28728.179921861036,213.98218536376953
43529547.80242127,11654709.867110213,67.20821702179205,29255432.955656,0.0,0.1339685384955057,0.1339685384955057,0.0,0.0,0.007488484885095586,27694.651016812604,223.72200417518616
46768679.71164493,0.0,91.49454127026095,42790788.96032713,0.0,0.1472289308412476,0.1472289308412476,0.0,0.0,0.002209460714516365,28297.89234794531,216.92422652244568
46136619.90791085,1764595.362520928,87.21244741763668,40236875.37746165,0.0,0.14943094526666761,0.14943094526666761,0.0,0.0,0.0018643656374388296,28194.151749367622,217.00080919265747
46042352.32499504,0.0,88.482539551376,40739442.60634762,0.0,0.1541348537218556,0.1541348537218556,0.0,0.0,-0.00012053732080778546,28522.821908891932,214.8333306312561
45493852.073170885,0.0,90.25075952761802,41058547.03440772,0.0,0.14392526256579102,0.14392526256579102,0.0,0.0,0.0037191128207764135,28330.319395876133,211.00793981552124
47532012.451102614,741123.6722739208,88.77724562177335,42197611.44268726,0.0,0.1540905651069196,0.15409056510691962,0.0,0.0,0.00044321139886386007,28245.72929352901,221.49060797691345
