SolarPower,WindPower,NuclearPower
0.0,0.37615286602058406,1.0
0.0,0.3784386543250425,1.0
0.0,0.37728226699845163,1.0
0.0,0.3851801689881552,1.0
0.0,0.3663702726603342,1.0
0.0,0.4008861721270129,1.0
0.0,0.39732190592070943,1.0
0.0,0.3786622077127532,1.0
0.0,0.37154292965364144,1.0
0.0,0.3755692307228742,1.0
0.0,0.3822163202867961,1.0
0.0,0.39788625918776105,1.0
0.0,0.37279933722169595,1.0
0.0,0.3729512351334448,1.0
0.0,0.3598975057077997,1.0
0.0,0.3819584751039382,1.0
0.0,0.38298212726579456,1.0
0.0,0.3959058267936899,1.0
0.0,0.3887134736201928,1.0
0.0,0.38419979128497306,1.0
0.0,0.3939442167789838,1.0
0.0,0.3770584612024795,1.0
0.0,0.37559617738938283,1.0
0.0,0.36322750327844877,1.0
0.0,0.3965643838330057,1.0
0.0,0.3842540062124093,1.0
0.0,0.35329100684382286,1.0
0.0,0.38618435231864684,1.0
0.0,0.3670493955587738,1.0
0.0,0.3769079120650728,1.0
0.0,0.3705225582000628,1.0
0.0,0.3596214509366837,1.0
0.0,0.38852537059891096,1.0
0.0,0.37577531284327986,1.0
0.0,0.36430740411878726,1.0
0.0,0.3882911771911802,1.0
0.0,0.399329123020084,1.0
0.0,0.3695921872469068,1.0
0.0,0.3748019281068477,1.0
0.0,0.4323518292024591,1.0
0.0,0.36096227254664226,1.0
0.0,0.38976370192293625,1.0
0.0,0.41741510625404527,1.0
0.0,0.3764793295370362,1.0
0.0,0.3543289950284703,1.0
0.0,0.3935430581196618,1.0
0.0,0.3830567113822804,1.0
0.0,0.4175290604185076,1.0
0.0,0.37121030551389944,1.0
0.0,0.3749193066240369,1.0
