,Aggregative,ISP
0,37.29220774771971,35.88385766549668
1,36.071182653568506,36.326426022033004
2,32.417590026907355,36.808878715795764
3,32.83942966621298,37.03090097064597
4,35.604737820970236,40.611627287195276
5,36.37405556339699,40.416639980521175
6,38.319362355585035,40.5658412632204
7,39.07435947807032,40.936732626018255
8,39.16798108132079,40.9887710432376
9,38.97460643382224,41.01130393877995
10,40.25782488136971,41.26346537463573
11,38.75126759850159,40.9620244830403
12,40.415382534424126,41.43402207642227
13,40.17643811872712,41.39472705254826
14,39.90267857189825,41.376876207477096
15,39.75039036659962,41.611746095412585
16,39.1203737819159,41.13031204228419
17,39.26847511370078,41.324914984217614
18,40.0870680067136,41.34365366777909
19,38.965403676983776,36.30902749402106
20,40.70576232140511,41.33465713232985
21,40.33984286369282,41.34166852086359
22,39.90255547296578,41.23550317675429
23,40.298929003307876,41.30634083178577
24,40.307707617101045,41.316986368742135
25,40.02761484308863,41.29587696164346
26,40.57082818358031,41.28936407248375
27,40.409015563029435,41.273060156336854
28,40.67608594945425,41.29911746997696
29,40.69727083705494,41.248449911033276
30,40.40569783673272,41.234964081986604
