,Aggregative,ISP
0,37.292207747719736,36.45173611927998
1,35.94904618835455,36.10612855623359
2,32.285383425275505,34.94765715060633
3,32.69481470998791,34.54456780130288
4,35.470973190472904,35.76119258486289
5,36.24602960283655,35.994881925710736
6,38.19461235314414,37.39996693698299
7,38.94619758862257,38.14432850843355
8,39.038425286248625,37.64559919753462
9,38.84484779672533,37.6949642922093
10,40.126293549222765,38.30872755905193
11,38.62044768518821,37.35614428176171
12,40.30346806498894,38.74020219107831
13,40.13334605763042,38.728083052279295
14,39.807562945129064,40.01814177017003
15,39.72254906950906,38.92194772976419
16,39.00760055202201,38.568909111577895
17,39.26847511370078,39.960970556002735
18,40.09006795647204,40.45370746501806
19,38.87051748667836,39.06615311118689
20,40.70576232140511,38.93118382744724
21,40.29203682652065,38.509509901647654
22,39.78979605349326,38.24671449591017
23,40.18458729974219,38.862593321197274
24,40.18785561217141,39.31469486957506
25,39.90461732605827,38.452952220521894
26,40.4562710642142,39.51921567562708
27,40.383661342228,39.01477855407208
28,40.675979361121776,38.945928135421845
29,40.576182268872735,38.89506579169661
30,40.2742874898656,38.44641399225098
