SolarPower,WindPower,NuclearPower
0.16541056095657647,0.37615286602058406,1.0
0.16999908109134387,0.3784386543250425,1.0
0.16625336051294134,0.37728226699845163,1.0
0.1673633313516589,0.3851801689881552,1.0
0.17380698358652796,0.3663702726603342,1.0
0.16567972175926965,0.4008861721270129,1.0
0.16019769020356942,0.39732190592070943,1.0
0.17247142403693394,0.3786622077127532,1.0
0.17135353208972728,0.37154292965364144,1.0
0.17381751392091851,0.3755692307228742,1.0
0.17032417862249657,0.3822163202867961,1.0
0.15954448529649304,0.39788625918776105,1.0
0.16894367400230925,0.37279933722169595,1.0
0.1743891844718157,0.3729512351334448,1.0
0.1666522321721314,0.3598975057077997,1.0
0.1714622678805744,0.3819584751039382,1.0
0.17012574163333227,0.38298212726579456,1.0
0.1705128964239626,0.3959058267936899,1.0
0.16481200007292288,0.3887134736201928,1.0
0.1734758969266175,0.38419979128497306,1.0
