8794,0,1,2,3
0,506.485135869027,6.617699502065682e-08,7.47740771604963e-09,-3.790956269149116e-07
1,492.4536627826127,5.287289012965221e-08,6.646906749960214e-10,-2.634383756348628e-07
2,491.5095114977106,5.273320963619053e-08,1.943593690126478e-08,-2.794715374635085e-07
3,495.6641064727221,3.7593664224670054e-08,1.3022907620348717e-09,-1.9315139386836352e-07
4,510.5185291320909,8.930731011737961e-08,3.859741269060872e-09,-1.7727159787506322e-07
5,510.5185347522094,3.960684781189277e-08,1.4179849239862386e-08,-3.0909576332332356e-07
6,510.5185299510074,6.637908474866603e-08,1.1554917485647083e-08,-2.0979576595210384e-07
7,505.2277467921446,6.506574215222373e-08,8.12701706150912e-09,-2.48181165895231e-07
8,497.6495728215503,5.175770163247538e-08,1.0269372322605639e-09,-2.0762860058937534e-07
9,1.6886840935121094e-06,5.12437976603324e-08,7.969610231004588e-10,-3.3192355504958685e-07
10,2.296865388249401e-06,-7.815982973691878e-09,-5.213023515976642e-10,-3.162915525963313e-07
11,340.8833506112619,2.0995792479501286e-08,-1.7913068065200535e-10,-3.4445777189085014e-07
12,327.3952792310891,-3.477803692537003e-08,-5.829710103629564e-09,-3.541967391244371e-07
13,329.3146289553565,2.149442561370376e-08,-1.469517765484456e-09,-2.924439961692747e-07
14,332.5065432227093,3.327417226430465e-08,5.069856300293462e-09,-3.195897353707061e-07
15,416.757702116683,1.6372434197367518e-09,-4.173061299205767e-09,-3.3922005362033217e-07
16,488.6735630955859,2.708633831360524e-08,3.1937314428461445e-09,-3.11727539406157e-07
17,497.85242335192567,3.34136687929619e-08,1.5558988847773456e-08,-2.6888010601333926e-07
18,510.51853415113055,2.9371293691602095e-09,9.615038590016547e-09,-2.6556487928203595e-07
19,491.7809075450911,8.402263780875781e-08,1.9565689404372806e-08,-2.470327571091692e-07
20,510.5185381491411,1.7569805920021255e-08,-1.795923985542979e-08,-2.775450165329941e-07
21,510.5185351966035,8.471793388336971e-08,2.0231251639791174e-08,-3.339681617413996e-07
22,507.13309559331606,-2.237901246303446e-08,-4.821501857266238e-09,-3.506501243782801e-07
23,510.5185335790168,5.4464769018620955e-08,-6.02892158654746e-09,-2.2370205099357226e-07
