Optimal Profit [€],Contract Defaulting [€],Profit Percentage [%],EBITDA [€],Short Exposure [%],Long Exposure [%],Revenue Exposure [%],Cost Exposure [%],Balancing Exposure [%],Scope 2 Emissions [tCO2],Hydrogen Produced [tH2],Episode Runtime [s]
119640877.52314301,0.0,85.4382629790645,102219087.5686834,0.47933083378125224,0.2878046704193032,0.17383174145994235,0.396007920209611,0.0,58569.26953113571,44210.1818181817,430.2197027206421
122365726.67111455,0.0,85.63793209049187,104791477.90864597,0.4885666242896369,0.3080515803305921,0.1854603292117021,0.39795689730703077,0.0,57682.257565193206,44210.53199401731,432.2998971939087
120021689.89532016,0.0,88.56716174803913,106299804.22231813,0.48703602991208184,0.3004153621326137,0.18051378999870724,0.3991193102867282,0.0,58165.081877078395,44210.18181818177,428.4383952617645
124472700.66509321,0.0,89.52351115939193,111432332.07031125,0.4835415978695669,0.30408837585473564,0.18412221251747157,0.3945108490255887,0.0,52683.903184591865,44215.68181818174,424.7152683734894
116519351.34215292,8222410.410440527,80.68299578102669,94011303.3274689,0.48198611609372033,0.29942188461574276,0.18126423925823457,0.394619269426961,0.0,58169.597504279984,43795.15098937161,428.56126594543457
119640877.52314301,0.0,85.4382629790645,102219087.5686834,0.47933083378125224,0.2878046704193032,0.17383174145994235,0.396007920209611,0.0,58569.26953113571,44210.1818181817,159.83304691314697
122365726.67111455,0.0,85.63793209049187,104791477.90864597,0.4885666242896369,0.3080515803305921,0.1854603292117021,0.39795689730703077,0.0,57682.257565193206,44210.53199401731,162.28924417495728
120021689.89532016,0.0,88.56716174803913,106299804.22231813,0.48703602991208184,0.3004153621326137,0.18051378999870724,0.3991193102867282,0.0,58165.081877078395,44210.18181818177,159.3699119091034
124472700.66509321,0.0,89.52351115939193,111432332.07031125,0.4835415978695669,0.30408837585473564,0.18412221251747157,0.3945108490255887,0.0,52683.903184591865,44215.68181818174,155.99136924743652
116519351.34215292,8222410.410440527,80.68299578102669,94011303.3274689,0.48198611609372033,0.29942188461574276,0.18126423925823457,0.394619269426961,0.0,58169.597504279984,43795.15098937161,161.18483996391296
131404073.16362323,0.0,87.35591605629838,114789231.84737162,0.4838000071923505,0.3136774171273415,0.19088905720694496,0.39144787994268954,0.0,49562.57364430112,44383.24569062576,162.7201783657074
125206667.46999665,0.0,88.85609837264306,111253759.6162483,0.4900136118678305,0.31517196023520794,0.1900907494705014,0.3968665571371272,0.0,52972.73879926105,44210.181818181765,154.62863063812256
124849782.78841166,1834522.4399951287,85.99532472988899,107364976.13345566,0.4912172445246829,0.3161480953607575,0.1904228759147411,0.39767824412337816,0.0,55467.48318701617,44117.77159393953,154.45486545562744
112542815.57624885,2151509.853547986,81.60353831204637,91838919.62621993,0.4785478101036219,0.2915241760858832,0.17666168338972021,0.39400674838825184,0.0,62862.3736030026,44101.762128608614,154.12144255638123
124023272.28763454,0.0,87.6784155185596,108741640.0160668,0.4786175454877395,0.29589884953637674,0.17973030174334445,0.39259546961756914,0.0,53416.24069294914,44254.74998805225,153.7991783618927
117683719.57808466,4435084.811556386,81.68903464869327,96134694.46201259,0.4840442511765991,0.309233644158996,0.18763688465618134,0.39321969585008787,0.0,57489.22342407598,43986.43006002231,159.20225167274475
120645009.5383576,909003.5643175361,85.09886007460071,102667527.85403562,0.48982996828724545,0.31532029213062407,0.19025202143793382,0.396638826659718,0.0,56746.13218755163,44164.514971499,161.53726530075073
109802756.47633737,0.0,85.61399938472111,94006531.2540583,0.480436727609435,0.28425238105060957,0.17104604958186043,0.39825992327780485,0.0,65205.863112236075,44599.67846600177,156.49373745918274
119077297.58369985,0.0,84.53358428084125,100660307.71226504,0.4813666316007917,0.2850739719828046,0.17136436622084086,0.3988775438566611,0.0,60943.848275392666,45054.54210057581,157.55467629432678
115754796.90312426,15734730.197090266,73.85432525471266,85489924.20276545,0.4981788022099889,0.3128972982360579,0.18601416149551872,0.40551049004205597,0.0,61796.16620571592,43415.72072892946,160.18038368225098
118352059.73190817,0.0,87.14913025466213,103142790.69483617,0.4786992951608926,0.29966505432488205,0.18237756555995444,0.3913952830741829,0.0,56339.462176727015,44210.18181818175,157.72145414352417
119749769.78671843,7410913.959378074,81.25441890012047,97301979.5744301,0.48032406050808735,0.307103155708111,0.18720916404753254,0.39040299466845196,0.0,54301.93174886665,43836.135658617175,163.35305452346802
125015243.6602942,0.0,88.3805940515388,110489215.00194672,0.4812289514095985,0.3054657603506845,0.1857756166478808,0.3918283462126674,0.0,52293.62453008071,44769.70983350087,156.81525945663452
116134166.52491802,0.0,87.08709448278356,101137871.32834855,0.48115379703382793,0.3010665851617943,0.18266848969155808,0.3932621596203001,0.0,57683.665213275846,44210.181818181736,148.63596940040588
120457738.9254403,1527007.104552188,85.90011701461428,103473338.69011179,0.473154198320301,0.29785891103777856,0.1826699806411587,0.3867231300728486,0.0,53547.109877525865,44133.30267148724,151.9488604068756
122169202.40713564,7261629.229721753,80.55082124551899,98408295.84804812,0.47874722658659896,0.31035064526490236,0.1900014582759892,0.3877845553895598,0.0,53343.92747007427,43843.67529142813,151.28068828582764
115535353.90197319,0.0,85.90672817295649,99252642.42023137,0.4840515689379345,0.3000459584851041,0.18111262581216725,0.39638371825908586,0.0,61669.7075148874,44377.13152534615,150.29440116882324
120932186.21011257,15510440.654066177,74.369338752299,89936467.22315964,0.48241517030571773,0.3125360168424225,0.19048350161219907,0.39052303943503924,0.0,53746.93345063303,43427.05353413275,156.81984615325928
