Optimal Profit [€],Contract Defaulting [€],Profit Percentage [%],EBITDA [€],Short Exposure [%],Long Exposure [%],Revenue Exposure [%],Cost Exposure [%],Balancing Exposure [%],Scope 2 Emissions [tCO2/MWh],Hydrogen Produced [tH2],Episode Runtime [s]
44803892.4700616,6770782.565559604,83.61701143795725,37463675.89134147,0.007147149834242448,0.14885025905473176,0.14794379471155963,0.006089773366392527,0.04295042800385561,0.002309016929764073,27941.374617901027,217.8442964553833
45236810.78966111,262937.47692361707,97.97206309536342,44319436.80917695,0.0030259843973231546,0.1446256646527285,0.14425115900468466,0.002589482640879197,0.020549103143250525,0.0018959100421963003,28269.762217062907,245.5779869556427
45620215.23039836,2436785.794149205,94.41187609977385,43070901.07977386,0.00036033332622617217,0.1387438383352261,0.13870077851717572,0.00031035481335291864,0.00448813677252072,0.003340696583356859,28160.263343729843,233.62353491783142
45718040.83617416,0.0,97.59656058730756,44619235.42400673,0.0012251760251965904,0.14146885881937782,0.14132002875381883,0.0010520341140873187,0.010110637074034123,0.0018205426269012658,28441.20350565322,219.7495138645172
45572361.20336506,5531237.6329898015,88.42106655041003,40295567.82822066,0.0015588802072638635,0.143700561549089,0.14350869725263418,0.0013351673395465102,0.011201141420717174,0.0027593740172405915,28003.97789732374,221.49830222129822
48739050.9050273,0.0,98.56766095609893,48040942.44928777,0.0014610790762241217,0.16047769751618782,0.16028080804834619,0.0012268961412643885,0.009907531816054416,-0.0036930332994763245,28302.07404434498,236.89361953735352
48369743.33478874,0.0,97.23580564651992,47032709.620735705,0.004023979080734183,0.15153501965744506,0.15101733231324863,0.003416288494677388,0.023960165388934522,7.946090057208306e-06,28282.909090909066,246.54215216636658
48252131.32889755,0.0,97.39665140682563,46995960.146770045,0.0006521589544478648,0.14289373219511156,0.14281385150911374,0.0005590216223670086,0.008568546099796865,0.0019955571804097655,28388.458025895754,234.30586099624634
45165693.24133372,159771.8856178908,95.90843273934878,43317708.52362516,0.0035080475812609823,0.13923228153613468,0.13881164832251347,0.0030210897141123394,0.026474924577089838,0.005369506155389717,28274.920496628194,229.16165113449097
45762196.95246926,0.0,99.42297923179238,45498139.57206544,0.000703867412410976,0.1442259602857477,0.1441390767480871,0.0006024126134329929,0.00685362695916543,0.0011194124113181733,28299.591870390854,251.9536964893341
45893691.37524092,0.0,98.97430945817189,45422964.12350929,0.00042480724730255075,0.14669457965285826,0.1466414009728194,0.0003625129174146977,0.00595799986711508,0.0016494342071808033,28282.90909090908,248.4370334148407
48484713.651105255,4052427.83609684,88.4030444955808,42861962.98254152,0.0049324705162283634,0.15803243290371694,0.1573756153559411,0.004156219933511889,0.02799778457384596,-0.00034445414476508735,28078.665260803184,254.54118990898132
45985491.59643699,0.0,98.66366435452049,45370971.08048482,0.0007426701935859728,0.1335900541059412,0.13350408614240147,0.0006435206880860771,0.009550457701696538,0.005429626337532542,28308.889198138688,250.22303700447083
45129591.16895035,0.0,96.44468041548897,43525089.9757109,0.00040657662572007885,0.13199793674312138,0.1319513509369311,0.0003529282906969354,0.006362840711758039,0.004512354830889961,28620.36167679107,251.3734574317932
43529547.80242127,8217450.514513871,81.33696384323764,35405612.55718023,0.00150163521012857,0.12973062251392128,0.12956105398227355,0.0013070817696074198,0.011145232279048404,0.007669174762137582,27868.310580075053,248.38833618164062
46768679.71164493,0.0,98.86752509685176,46239036.15137677,0.0014613384459801204,0.14896411800029877,0.14877881822111025,0.0012439222389661242,0.011333637132007508,0.000852673277653351,28282.90909090909,245.42596673965454
46136619.90791085,599830.6218268157,97.45969222232965,44964607.764035985,0.004723238132499013,0.1516881307951467,0.15107991422050962,0.004009651720598022,0.028902338851222092,0.0008630264596644258,28252.91755981774,263.8993866443634
46042352.32499504,0.0,97.19294222241427,44749916.89307284,0.000878849356763858,0.15644908908388674,0.1563330889489885,0.0007414561221001325,0.011184553905988553,-0.0021081637612622725,28471.610468404975,254.05889201164246
45493852.073170885,0.0,98.40683473096601,44769059.82239543,0.0008189427984171561,0.1454301969442293,0.1453284064014542,0.0006999271465892436,0.009047489770021086,0.0023908616262562025,28304.851063036025,256.12062907218933
47532012.451102614,186379.86460970523,97.90957278357617,46538390.3263108,0.0015438236725684713,0.1546147224919859,0.15441288264926506,0.0013054374089849984,0.009487959505886106,-0.0009557795901542926,28273.590097678592,255.9942283630371
