Optimal Profit [€],Contract Defaulting [€],Profit Percentage [%],EBITDA [€],Short Exposure [%],Long Exposure [%],Revenue Exposure [%],Cost Exposure [%],Balancing Exposure [%],Scope 2 Emissions [tCO2/MWh],Hydrogen Produced [tH2],Episode Runtime [s]
128040420.52859747,344318.0429933697,95.34802857700744,122084016.75572762,0.3004991823886251,0.3341918106423644,0.25368472063110264,0.2280606267333479,0.0,0.006686163393876513,44192.96591603204,1086.3850317001343
129977218.24040598,0.0,95.70961428787658,124400694.24000412,0.3121514806490851,0.34348369170370924,0.2611166452488496,0.23277469465107176,0.0,0.005536913176918517,44210.18181818179,1080.1997363567352
130199522.3088671,0.0,96.94799113698888,126225821.34840232,0.3154719081482416,0.34476493083293164,0.26017623870000645,0.236218353866676,0.0,0.006650997694694592,44210.181818181736,1125.4620451927185
131945072.80034709,0.0,97.25819827040688,128327400.51219428,0.3027951916581256,0.3430426231329568,0.2617372991719972,0.22659460546103197,0.0,0.002029574698986128,44210.181818181765,3446.989529132843
128366847.55355737,10745121.25805549,87.66376510016343,112531211.70583542,0.3055092904680644,0.338988581311341,0.2590783163074599,0.22850018507513895,0.0,0.005188786007905733,43667.92316878498,1539.584890127182
139739646.7663569,0.0,96.35999668458815,134653118.9911167,0.3109963780301971,0.35903815629557073,0.27407566004047845,0.22824297413147798,0.0,-0.0014611696352194875,44262.30894212412,1711.6519176959991
136024851.65302843,4987585.283219058,92.00551265015808,125150362.09498583,0.3099116761565453,0.3551079406256376,0.27028585357995855,0.22905963224851686,0.0,0.0004498256738210711,43958.70781397879,1254.628988981247
137519095.52565622,5250600.833249465,93.3835978092378,128420279.07658033,0.3188070286601899,0.3610413837714928,0.27300201963716897,0.2346052374146858,0.0,0.0015259788570900182,43945.42420034083,1239.0402655601501
124988410.8896814,0.0,93.16893049942512,116450365.67414317,0.3049768059311215,0.33698728651896465,0.25609077766475036,0.22990590473166655,0.0,0.009663389332002453,44210.18181818173,1153.858871459961
130415380.2339021,0.0,95.82105086357144,124965387.82784742,0.30430422762621,0.3386837069711948,0.25868850267095206,0.22800338527432232,0.0,0.003800062451109733,44280.86744362972,1279.2817885875702
129397202.4071557,5732267.455733743,89.51864582187217,115834623.32627276,0.3038752541232765,0.34525609596899237,0.2645142648143614,0.2258366624688431,0.0,0.0041212423003327454,43921.097603245624,1106.155484676361
135776867.07741088,6133398.097686307,90.70853598495847,123161208.33216248,0.313732088424505,0.3593722063453967,0.2728640704990103,0.2310356027877643,0.0,0.0015850705643329537,43900.41423749057,1105.7426588535309
124659688.2369929,0.0,95.27868179228842,118774107.67858326,0.3094503535795052,0.3362678652338165,0.25470100056715117,0.23341821056911585,0.0,0.010018260739922805,44316.31318793392,1303.3947823047638
128042596.87124002,0.0,95.14421515311767,121825123.85481173,0.3046601614369142,0.3283442886409111,0.247810234871394,0.23291473120458903,0.0,0.007553564421186981,45342.04851378611,1254.7949647903442
127828916.27687508,20681894.266557846,80.86135123036996,103364188.96461952,0.32338606124778313,0.35709831712605916,0.26700993895724956,0.24070718290614285,0.0,0.0071524118744160335,43166.06594613339,1286.5548691749573
129070741.86571366,0.0,96.75276025931863,124879505.44225794,0.30104875015297355,0.3446257271983496,0.2631647340266366,0.2250989570685202,0.0,0.003387394328505945,44226.0985004519,1335.9713611602783
130449792.11874151,8162421.543095028,91.27020192014662,119061788.6711869,0.29925472297676237,0.35109177509988254,0.2684791657012094,0.22255902313169196,0.0,0.0015808032667506027,43798.362548328405,1571.044097661972
131376192.78611976,0.0,97.22807937733036,127734549.0050031,0.2975358403913741,0.3466181191599543,0.2658444772966563,0.22167310865828138,0.0,0.0003028759980005199,44639.6183697392,1515.2769961357117
127768079.15253592,0.0,96.04453250590296,122714254.31382519,0.3088845471355384,0.34345825851223744,0.26192525793583726,0.2301452037025291,0.0,0.0055173800601820405,44229.54937017047,1256.814237356186
130264649.40267652,0.0,94.04856267440553,122512030.43607086,0.2975323942280665,0.3384851910064032,0.2610717993310368,0.22181824028683816,0.0,0.0036114495563414274,44210.181818181765,1080.4094347953796
