Optimal Profit [€],Contract Defaulting [€],Profit Percentage [%],EBITDA [€],Short Exposure [%],Long Exposure [%],Revenue Exposure [%],Cost Exposure [%],Balancing Exposure [%],Scope 2 Emissions [tCO2/MWh],Hydrogen Produced [tH2],Episode Runtime [s]
93548963.30978769,0.0,81.77553968040219,76500169.61200032,0.4791516172863612,0.28755331357268377,0.17370504322587862,0.3959205648938841,0.0,0.045651667280854194,44210.1818181817,189.68942427635193
95880680.22137278,0.0,81.82795600833698,78457200.83203918,0.4884255866409434,0.30785935016968935,0.18536574288077146,0.39788821493126825,0.0,0.04499331895534411,44210.18181818176,190.65472793579102
93836624.8079187,0.0,85.44950839579212,80182934.59357044,0.48756727248625004,0.3011358608415033,0.18086756867528545,0.3993821653460216,0.0,0.04544107926119617,44210.181818181736,186.24260783195496
97975755.13338503,0.0,86.92604296787151,85166447.00534284,0.48401409025625763,0.3046891464030612,0.1844111228178168,0.394756508412457,0.0,0.04110991151295739,44217.69305413685,187.10880708694458
90120229.19189197,8349681.37532298,74.85120096400792,67456073.86164759,0.4825129868090077,0.30020290132066035,0.18166570717800903,0.394856923837776,0.0,0.04594610818400837,43788.844374983644,190.15744185447693
104563070.6052432,0.0,84.2845702874579,88130534.73900044,0.4840123675224508,0.3138903692590382,0.19097826986824737,0.39157652297817885,0.0,0.038548402493061844,44387.476327306445,190.29872488975525
98859947.17455032,0.0,86.02615526626468,85045411.6525259,0.4891271042697762,0.31397709664072126,0.18950566587072534,0.39643474667971257,0.0,0.04121067496051522,44210.181818181794,193.2162685394287
98182664.48202495,1404751.4726694091,82.81607512294677,81311029.17514455,0.49123569637621833,0.31580738844633033,0.1901743948033513,0.39781524511206817,0.0,0.04339930420922487,44139.59841047111,196.1145739555359
86165159.41906875,802655.6334148161,77.24357812342728,66557052.23104404,0.4797268175790328,0.29198261251710844,0.17665514264441223,0.3949806081892589,0.0,0.049664794468231736,44170.00729124162,320.3619318008423
97351902.49383095,0.0,84.59248082020112,82352389.44519484,0.4792278900594476,0.2968440253961432,0.18022635878353507,0.39285839240651704,0.0,0.04165972936431163,44246.624355038344,187.16136360168457
91064104.4822616,2889642.303573503,77.74068836725377,70793861.67998536,0.48529737534094997,0.3096350699076353,0.18755258926159474,0.39427859603389875,0.0,0.04555581896617107,44064.60392406186,208.36344981193542
94327993.82052511,0.0,82.1221429724364,77464169.9483226,0.4904624059516316,0.3155022631174667,0.19019076292131648,0.39718098677946634,0.0,0.044505396277954065,44210.18181818173,219.15934371948242
83559057.40765013,0.0,81.23214582688782,67876815.36495526,0.48059369955003917,0.2848863726286538,0.17144511554819356,0.39819825719894886,0.0,0.05052345444043564,44573.592613764005,193.38012957572937
92442621.78275946,0.0,80.03167358847601,73983377.32180747,0.4820436609531527,0.2861452980236391,0.17192519088848007,0.39916821252720014,0.0,0.04681631886818437,45045.494980286945,208.28823566436768
90054520.02847087,11345493.526790097,70.62129884910875,63597671.71643691,0.5003228032411225,0.31224685036880406,0.18491006081363204,0.40780808326735973,0.0,0.0501252889978655,43637.53573291332,189.16945147514343
91659279.17426775,0.0,83.44722141098002,76487121.63625951,0.47934824362655587,0.30052822980186966,0.1828050171937935,0.3917209797085885,0.0,0.04409380441191496,44210.181818181736,190.32125449180603
93121636.48966712,6516347.813845834,76.72138603279937,71444210.21129768,0.48043773755680524,0.30649749781645563,0.1867429926507649,0.39071935666308466,0.0,0.042961335483539566,43881.436979098595,368.57477498054504
97978198.99082705,0.0,85.22295809271763,83499919.46595204,0.48096112744387765,0.30499214344747494,0.1855160029802469,0.3917351414916164,0.0,0.04030027298519212,44777.069939393594,322.1502251625061
89714018.21544228,0.0,83.13501067019712,74583758.61607052,0.4816335936474813,0.3014929847655296,0.1828328356588862,0.3935751579723326,0.0,0.04520031721696772,44223.770619940115,541.6780452728271
93555890.86639014,0.0,83.34283371385713,77972130.55429319,0.47410424901672094,0.2979401062338113,0.18245855959866422,0.3875998706415237,0.0,0.04223070888130123,44210.181818181765,551.6524500846863
95473368.73920342,7201254.2880871445,75.18688734074412,71783454.1943581,0.4795598178598506,0.31133574800067493,0.19046951581395435,0.38821829154825666,0.0,0.04210589628292365,43846.845743025835,236.08222365379333
88972357.94894737,0.0,81.49477730242602,72507824.971212,0.4847935390120147,0.3007634061709148,0.18140567741483674,0.3968492386612041,0.0,0.04821376932575579,44394.966306800496,231.4814736843109
94362302.70756789,11781692.658068046,70.22437821054028,66265340.34153736,0.4846056946701681,0.31239991122985755,0.18973295443785904,0.39266002448298604,0.0,0.04379086651987413,43615.500423252895,240.2107355594635
92551239.87532197,0.0,82.66479967453157,76507297.0392301,0.4941006440505622,0.29741262098760407,0.17638024169137642,0.40695105303305934,0.0,0.04820335015134126,44394.159738601804,235.20643591880798
102406638.9232271,0.0,84.62998046212505,86666718.51264605,0.4910782458128298,0.32224275918547557,0.1948270277834867,0.3954029307719876,0.0,0.04061991858686306,44210.181818181714,281.646479845047
100668033.53474027,0.0,80.31642507555235,80852965.72896159,0.49287037013274654,0.301970772369697,0.17991560576453328,0.4041952989269237,0.0,0.045404500226076394,45226.21732864066,294.7490530014038
96771133.02571407,0.0,83.22728141127594,80539983.20819125,0.5118145367031146,0.31034819182682927,0.18011746252485383,0.4196278010688159,0.0,0.051683667102883225,44364.86541542658,285.9159073829651
99896267.9649835,0.0,84.87173093977272,84783691.76611516,0.496412238785375,0.31548760646555224,0.18837792367815964,0.40289913195455923,0.0,0.04472959912948599,44323.468841989656,275.74289727211
89518705.82489643,0.0,81.66989431226226,73109832.43689787,0.4832450453164961,0.29162584950043396,0.17542055010075178,0.39847393363361366,0.0,0.047458197220668026,44215.18181818166,273.70223784446716
101173379.11878832,16033820.545717318,65.79367926640501,66565688.56039956,0.4864693022088477,0.3193271518130181,0.19414302761613045,0.39202467903571564,0.0,0.041289138389370775,43400.756538094996,275.46626448631287
92384796.86198789,0.0,81.58443404248172,75371613.66114923,0.49439747839500137,0.3011162805145827,0.17887438207441358,0.40596243494794726,0.0,0.049331592989224855,44541.61394514319,278.74863743782043
97376290.81232318,0.0,81.0257930218689,78899911.84596613,0.5064506491077332,0.3021760975880218,0.17608663691244045,0.41727145754423,0.0,0.051413973503622666,45061.236692057886,266.8205654621124
90570404.77072892,0.0,86.02227008959481,77910718.21311569,0.47195428946832707,0.2941631917745863,0.18037309315411765,0.3868264344495711,0.0,0.042321444716118824,44210.18181818172,264.5084011554718
89870096.74062228,0.0,84.29304076818865,75754237.28398332,0.4876741219627911,0.3035063959073258,0.18250752362326567,0.39866992562821163,0.0,0.04679078920837676,44210.18181818178,265.05172872543335
92630869.33907214,0.0,83.70088452193032,77532856.97715694,0.4892032764702168,0.29345228093691805,0.1750199448913359,0.4035829459817385,0.0,0.046575441703905936,44210.18181818175,282.8534736633301
89269815.99811134,0.0,81.40143794920138,72666913.87706885,0.4736419632139798,0.296922626598036,0.18186406670522118,0.38750350962164065,0.0,0.043913242979624456,44285.36048144268,283.3373427391052
93232717.70832354,0.0,83.18872327215209,77559107.53348401,0.481141053828804,0.30790901497919204,0.1875458233991509,0.39090505871734577,0.0,0.04288846499104524,44289.976056784144,280.7271378040314
94211789.76931508,0.0,81.4156609856207,76703151.36707126,0.4901218825816106,0.2922303682201797,0.17391086152020188,0.4048843637319394,0.0,0.04796515360158381,44927.3794295172,285.7035174369812
96175980.95959651,14638949.41537755,65.89319163640413,63373423.44189847,0.4917558393677258,0.3180510455163193,0.19161717572506182,0.397526974281775,0.0,0.045648267983689456,43471.204574980875,277.36366271972656
95469203.9023,0.0,81.02453109876629,77353474.80556366,0.45694281754106153,0.3096366855914163,0.1958622420775635,0.3674449727962302,0.0,0.03606363938104735,44526.71729105629,276.7320559024811
92254760.61248127,0.0,82.74291517555923,76334278.3190006,0.4948830565026128,0.3000675922644064,0.17800227176531713,0.40679274818698385,0.0,0.04913003892244084,44210.18181818175,282.25793957710266
91961192.02180994,3546850.408756756,77.98727149740158,71718024.49429572,0.47787549758608167,0.3113023606530123,0.1909441639380052,0.3866279602330491,0.0,0.043520851418559325,44031.4115955172,278.8977870941162
102750316.5516324,0.0,86.25679086107947,88629125.65703869,0.47226979374034067,0.3215669123873317,0.20008706278415075,0.3777747178691593,0.0,0.0355557312656895,44210.18181818167,281.3004195690155
96215488.90649508,0.0,82.21547959300001,79104025.64722465,0.4886100055170856,0.2984444732700802,0.17867667898949677,0.40130679241025313,0.0,0.04466689705694779,44382.5929381494,283.5292851924896
92196925.79539926,0.0,82.27852888258086,75858274.21941923,0.4927696869846212,0.29928130683519466,0.17806499939372453,0.4050246529704588,0.0,0.049669461188167924,44244.55593271628,275.638751745224
98199308.66534346,0.0,85.92242436216488,84375226.71214855,0.4718095962683598,0.3017763831225815,0.18585804235588552,0.3841199883412017,0.0,0.0385782925889081,44264.49741306783,269.25935459136963
88920250.76018882,9674851.164442103,67.27613700843106,59822109.729665086,0.47557669121850743,0.2982885278856662,0.1822887727422354,0.38888439983147266,0.0,0.04661182052917935,43721.91660785637,267.8857972621918
101001497.23299423,0.0,84.17594359510376,85018963.34105551,0.458087168442366,0.30648192264573393,0.19321266254473965,0.36957892695003586,0.0,0.0327761865132869,44266.54186423877,267.70198798179626
103891113.54533471,0.0,85.08890334239398,88399809.18592663,0.5019981708093454,0.30943535462308797,0.1824386612137932,0.4104142965951153,0.0,0.04378463850748997,44832.00938959328,268.6380863189697
95919551.32309419,0.0,81.09746832431141,77788327.75106794,0.4821967822979429,0.29498129291521175,0.17807089390368325,0.3963315702366685,0.0,0.045200462481849224,44552.621409876425,279.9479286670685
