,price,solar,wind
2015-01-01 00:00:00+00:00,48.1,0.0,512.9
2015-01-01 01:00:00+00:00,47.33,0.0,551.0
2015-01-01 02:00:00+00:00,42.27,0.0,596.5
2015-01-01 03:00:00+00:00,38.41,0.0,706.3
2015-01-01 04:00:00+00:00,35.72,0.0,720.5
2015-01-01 05:00:00+00:00,35.13,0.0,764.7
2015-01-01 06:00:00+00:00,36.22,0.0,725.7
2015-01-01 07:00:00+00:00,32.4,0.3,865.8
2015-01-01 08:00:00+00:00,36.6,50.9,844.5
2015-01-01 09:00:00+00:00,43.1,177.0,800.8
2015-01-01 10:00:00+00:00,45.14,253.0,776.8
2015-01-01 11:00:00+00:00,45.14,278.8,623.0
2015-01-01 12:00:00+00:00,47.35,289.8,351.5
2015-01-01 13:00:00+00:00,47.35,283.0,218.3
2015-01-01 14:00:00+00:00,43.61,257.9,132.3
2015-01-01 15:00:00+00:00,44.91,196.0,89.0
2015-01-01 16:00:00+00:00,48.1,75.3,113.7
2015-01-01 17:00:00+00:00,58.02,1.7,166.5
2015-01-01 18:00:00+00:00,61.01,0.0,222.8
2015-01-01 19:00:00+00:00,62.69,0.0,273.5
2015-01-01 20:00:00+00:00,60.41,0.0,239.7
2015-01-01 21:00:00+00:00,58.15,0.0,225.9
2015-01-01 22:00:00+00:00,53.6,0.0,188.2
2015-01-01 23:00:00+00:00,47.34,0.0,150.6
2015-01-02 00:00:00+00:00,40.4,0.0,144.6
2015-01-02 01:00:00+00:00,36.0,0.0,188.1
2015-01-02 02:00:00+00:00,37.0,0.0,244.1
2015-01-02 03:00:00+00:00,35.99,0.0,289.1
2015-01-02 04:00:00+00:00,37.98,0.0,303.2
2015-01-02 05:00:00+00:00,43.61,0.0,343.7
2015-01-02 06:00:00+00:00,56.1,0.0,415.6
2015-01-02 07:00:00+00:00,57.69,0.2,470.9
2015-01-02 08:00:00+00:00,60.01,51.8,504.2
2015-01-02 09:00:00+00:00,62.25,178.2,489.2
2015-01-02 10:00:00+00:00,60.01,249.6,367.1
2015-01-02 11:00:00+00:00,59.97,276.4,177.9
2015-01-02 12:00:00+00:00,59.69,283.4,76.0
2015-01-02 13:00:00+00:00,58.69,267.8,25.3
2015-01-02 14:00:00+00:00,58.13,246.4,22.4
2015-01-02 15:00:00+00:00,59.0,188.5,42.7
2015-01-02 16:00:00+00:00,59.69,73.7,105.7
2015-01-02 17:00:00+00:00,63.76,2.5,234.6
2015-01-02 18:00:00+00:00,65.01,0.0,273.7
2015-01-02 19:00:00+00:00,65.01,0.0,276.6
2015-01-02 20:00:00+00:00,61.75,0.0,235.0
2015-01-02 21:00:00+00:00,59.96,0.0,275.2
2015-01-02 22:00:00+00:00,58.69,0.0,273.6
2015-01-02 23:00:00+00:00,52.1,0.0,285.2
2015-01-03 00:00:00+00:00,47.84,0.0,264.9
2015-01-03 01:00:00+00:00,43.66,0.0,266.4
2015-01-03 02:00:00+00:00,43.66,0.0,261.4
2015-01-03 03:00:00+00:00,41.98,0.0,236.7
2015-01-03 04:00:00+00:00,43.93,0.0,208.7
2015-01-03 05:00:00+00:00,46.02,0.0,181.6
2015-01-03 06:00:00+00:00,50.92,0.0,167.1
2015-01-03 07:00:00+00:00,55.57,0.2,187.5
2015-01-03 08:00:00+00:00,58.1,50.7,187.8
2015-01-03 09:00:00+00:00,59.8,176.0,164.2
2015-01-03 10:00:00+00:00,59.51,252.0,129.9
2015-01-03 11:00:00+00:00,59.0,282.9,78.6
2015-01-03 12:00:00+00:00,58.13,289.4,38.3
2015-01-03 13:00:00+00:00,56.9,281.9,36.0
2015-01-03 14:00:00+00:00,52.69,256.7,41.8
2015-01-03 15:00:00+00:00,52.1,199.2,40.6
2015-01-03 16:00:00+00:00,56.1,79.5,49.2
2015-01-03 17:00:00+00:00,59.0,2.0,65.4
2015-01-03 18:00:00+00:00,59.8,0.0,97.0
2015-01-03 19:00:00+00:00,59.92,0.0,91.2
2015-01-03 20:00:00+00:00,59.51,0.0,84.1
2015-01-03 21:00:00+00:00,58.1,0.0,87.7
2015-01-03 22:00:00+00:00,56.1,0.0,102.1
2015-01-03 23:00:00+00:00,41.3,0.0,112.5
2015-01-04 00:00:00+00:00,40.19,0.0,115.5
2015-01-04 01:00:00+00:00,38.4,0.0,121.3
2015-01-04 02:00:00+00:00,36.0,0.0,127.7
2015-01-04 03:00:00+00:00,35.0,0.0,105.8
2015-01-04 04:00:00+00:00,35.5,0.0,99.5
2015-01-04 05:00:00+00:00,36.0,0.0,92.3
2015-01-04 06:00:00+00:00,36.49,0.0,87.9
2015-01-04 07:00:00+00:00,38.5,0.2,98.3
2015-01-04 08:00:00+00:00,41.86,48.9,124.7
2015-01-04 09:00:00+00:00,48.51,170.7,150.7
2015-01-04 10:00:00+00:00,48.51,244.3,166.5
2015-01-04 11:00:00+00:00,45.5,280.2,155.9
2015-01-04 12:00:00+00:00,47.71,288.3,129.7
2015-01-04 13:00:00+00:00,46.48,281.7,130.0
2015-01-04 14:00:00+00:00,39.82,257.3,119.6
2015-01-04 15:00:00+00:00,39.6,199.6,157.1
2015-01-04 16:00:00+00:00,47.69,80.7,242.6
2015-01-04 17:00:00+00:00,59.11,2.4,317.3
2015-01-04 18:00:00+00:00,61.26,0.0,337.7
2015-01-04 19:00:00+00:00,62.31,0.0,366.7
2015-01-04 20:00:00+00:00,62.69,0.0,348.6
