Optimal Profit [€],Contract Defaulting [€],Profit Percentage [%],EBITDA [€],Short Exposure [%],Long Exposure [%],Revenue Exposure [%],Cost Exposure [%],Balancing Exposure [%],Scope 2 Emissions [tCO2/MWh],Hydrogen Produced [tH2],Episode Runtime [s],Scope 2 Emissions Optimal [tCO2/MWh]
44803892.4700616,5122107.175218029,81.01379328026476,36297332.82720782,0.007591943009475024,0.1466308719057352,0.1456798313974242,0.006485950031875849,0.08787912590828506,0.0034989725250123825,28024.64105175667,354.8195540904999,0.00452504567442317
45236810.78966111,0.0,89.95715080481577,40693746.101344615,0.011354454529482307,0.1514159680634515,0.14995453102535936,0.009651802625465021,0.1275790426627846,0.002871865838261801,28282.909090909096,383.38302993774414,0.0018572493730765547
45620215.23039836,1576609.4530242146,90.9186982075087,41477305.8069418,0.005782803931667857,0.14205470298842954,0.14134934337393626,0.004965408393066389,0.062395716815580246,0.0038823061193252917,28203.706593281604,367.0327982902527,0.003825814868449757
45718040.83617416,0.0,91.70464683161617,41925567.887147576,0.0073985468459606945,0.14668564658618216,0.14575857199765194,0.006320145222835732,0.09283764671073333,0.0020964246030309016,28443.733029536135,376.8076310157776,0.0007225078842577508
45572361.20336506,5231869.744090066,82.15136442118212,37438316.52751385,0.00797383739015707,0.14873045507943528,0.14771969114733097,0.006795944593624029,0.09506935543365762,0.0036176204435019806,28019.097487672218,399.98765444755554,0.004553867913798888
48739050.9050273,0.0,90.50710648127097,44112304.70057392,0.00935996236527373,0.16632248993226237,0.16502262032131987,0.007815356849647322,0.10313003361985923,-0.0025404720058935814,28328.394698377266,391.7510259151459,-0.004105225215556785
48369743.33478874,0.0,93.54145492729762,45245761.659960955,0.0051610005919332114,0.15249614615430732,0.15182860753274768,0.004377413058584305,0.05599579052577701,0.0003760905654567363,28282.909090909074,418.0090582370758,-0.0005183843987400159
48252131.32889755,0.0,93.05804097239556,44902488.142099604,0.009144229940493522,0.15147521464360908,0.15029827222364336,0.007769867979621637,0.08271915939080857,0.0016481843752597306,28345.31741804725,409.5312194824219,0.0008847902194445141
45165693.24133372,0.0,92.00243832367336,41553539.06781757,0.009942080981653419,0.14457554805134248,0.14334420659930985,0.008516941271392223,0.08714275833549587,0.00579792589257887,28282.909090909085,407.7159752845764,0.004782594586758743
45762196.95246926,0.0,91.20433978396403,41737109.60113689,0.009454322075272454,0.1509166508018612,0.14970343522918758,0.008038977582841026,0.11616007887789258,0.0016706034130757334,28325.123067581055,394.7606089115143,0.0009204357964925748
45893691.37524092,142526.85514079186,91.23197491470808,41869721.00289334,0.010356606018574438,0.15535138898580106,0.15399023276304633,0.008761789847138992,0.0971114396658728,0.0025376967880896646,28275.782748152043,422.20263600349426,0.0012381013378434296
48484713.651105255,2770090.3986205524,86.48308062520957,41931073.99778735,0.008267848422886014,0.1588643049494723,0.15775804878856914,0.0069635287880118685,0.07917162708085675,0.0005329172011111817,28143.429777847436,410.97757482528687,0.00037574977770973167
45985491.59643693,0.0,91.53906735953052,42094690.12807365,0.00830912080317479,0.137589650770465,0.13660257249938623,0.007174073526252946,0.09039482221181369,0.006798272956414557,28391.50927324935,422.489413022995,0.004905379758685952
45129591.16895035,0.0,87.86960936773526,39655195.469412625,0.011131112757337056,0.1365636186936268,0.1352491065036101,0.009625639702516285,0.11396505367269945,0.005998851922826446,28774.908587211547,420.0129201412201,0.0021987028438630474
43529547.80242127,10934216.291455325,70.37196043303355,30632596.156198326,0.00915676795099798,0.1407190129668863,0.13961037396221573,0.00787838815307392,0.09100081188156155,0.006843183821455898,27731.100187300224,420.7089247703552,0.009734299636973122
46768679.71164493,0.0,92.85598033615763,43427516.03652556,0.009143084470847749,0.1554928316226608,0.1542904998780767,0.00773239339741317,0.09165401647428756,0.0012776353162886748,28282.90909090909,483.5762116909027,0.0005525179650919391
46136619.90791085,1071502.8981332434,89.99797462623951,41522023.478126176,0.009949591497926062,0.15682999215539528,0.15551225824897516,0.008402308055428777,0.09468616784162097,0.0012179294861340507,28229.131166760937,447.80084013938904,0.0009094577064393726
46042352.32499501,0.0,89.68337236046004,41292334.279140204,0.0094216158685954,0.16196905036476922,0.1606882520973569,0.007907672882738085,0.09500270248095836,-0.0009289661780776716,28528.138625490206,417.3613579273224,-0.0037535176219426467
45493852.073170885,0.0,91.24857383354252,41512491.19870995,0.008337515544280067,0.1507312623889964,0.1496626227921796,0.007089701100352545,0.0902548069143944,0.0030753489286092727,28341.24247840332,430.83686542510986,0.001970174101327023
47532012.451102614,0.0,91.77624554798199,43623096.461021304,0.008412963865665897,0.1601734349459422,0.1590402136126353,0.007074964295355011,0.10091585681910817,-0.0003654346580296318,28282.909090909085,417.7142355442047,-0.001395257068506251
