SolarPower,WindPower,NuclearPower
0.0,0.37615286602058406,1.0
0.0,0.3784386543250425,1.0
0.0,0.37728226699845163,1.0
0.0,0.3851801689881552,1.0
0.0,0.3663702726603342,1.0
0.0,0.4008861721270129,1.0
0.0,0.39732190592070943,1.0
0.0,0.3786622077127532,1.0
0.0,0.37154292965364144,1.0
0.0,0.3755692307228742,1.0
0.0,0.3822163202867961,1.0
0.0,0.39788625918776105,1.0
0.0,0.37279933722169595,1.0
0.0,0.3729512351334448,1.0
0.0,0.3598975057077997,1.0
0.0,0.3819584751039382,1.0
0.0,0.38298212726579456,1.0
0.0,0.3959058267936899,1.0
0.0,0.3887134736201928,1.0
0.0,0.38419979128497306,1.0
