,Optimal Profit,Realized Profit,Percentage Obtained,EBITDA,Contracted Revenue,Contracted Revenue Share,Short Exposure,Long Exposure,Power Consumption,Balancing Exposure,Episode Runtimes
0,129153061.46986215,101687337.40312658,78.73397366337717,101687337.40312658,220548006.56446636,1.2405250560282661,0.42376809899348145,0.6526847587262987,2789304.3988874503,0.5328962487461592,319.13302755355835
1,131179331.3903723,104004704.31015176,79.28436835879849,104004704.31015176,219420573.60004473,1.2145023441451128,0.4155714528064514,0.6398013366503161,2760469.409274385,0.5365899652707641,318.2373960018158
2,127954573.82256708,103444074.08502215,80.84437390137118,103444074.08502215,219145985.63003325,1.219536351601722,0.4064168331105609,0.6365557389614871,2753859.928017529,0.546311294547793,322.9051761627197
3,133935600.59189652,109444626.96624126,81.71436607039261,109444626.96624126,219153174.30952388,1.1760349439896307,0.43541621801704133,0.6507245283093908,2754308.941001904,0.5461360546423023,313.13970160484314
4,123492185.20135856,90631165.31686576,73.39020292586798,90631165.31686576,212257435.92675743,1.2726796320614642,0.33338614460793214,0.5870822155165276,2734028.2903013295,0.5570601655563379,323.19340991973877
5,141173633.2919835,109699505.49811038,77.70537807950548,109699505.49811038,221736643.61650565,1.1822178458280583,0.48789893160238484,0.6865648980480736,2819359.596283459,0.5797900951170528,334.3027322292328
6,133205380.53991382,107936762.60634552,81.03033238511205,107936762.60634552,219060000.00000003,1.1836913675730898,0.4319350151557964,0.649085152605876,2752118.3011618913,0.529998263350096,326.26653146743774
7,132086537.40565512,104352468.43372416,79.00310696558275,104352468.43372416,219078022.64583737,1.2087216102035017,0.4275643047063769,0.6441522225960674,2751487.808167706,0.5676416332358517,315.2206063270569
8,119497107.95043963,91940851.44782507,76.9398130421338,91940851.44782507,219059999.99999997,1.3020869673675939,0.3033313735387096,0.5709923676249649,2750889.8566674395,0.5123373803019512,311.1542453765869
9,134105912.57695329,105494392.3681094,78.66498228224957,105494392.3681094,219096750.47328353,1.2019097095084414,0.4529882251931805,0.6601648918973402,2752040.0819597947,0.5959091417985781,443.5307080745697
10,125532363.27000391,96494313.35163921,76.86807675570672,96494313.35163921,219060000.00000003,1.262952568052205,0.33296714442215036,0.5855843476769872,2750969.872638207,0.5649628156023048,437.7452301979065
11,126868368.30575474,98790225.65605532,77.86828740318417,98790225.65605532,219087079.79797742,1.245514429600223,0.3743533810271695,0.6137848872256367,2751930.8071359913,0.5225501324240505,417.85818243026733
12,116151062.11336523,85325998.68044609,73.4612298225621,85325998.68044609,219918675.17515555,1.36173088836914,0.3173903796407782,0.584513045479209,2772803.584049529,0.5771720876562407,356.2645835876465
13,128078336.7720378,95802448.34635124,74.79988478993657,95802448.34635124,221855794.7903398,1.2863828708992817,0.3569831362112807,0.6110460753743433,2822227.124515471,0.5799587383884228,363.63937401771545
14,122598317.94774896,91387845.52559325,74.5424954072718,91387845.52559325,219060000.0,1.3160448391313864,0.3684251872068286,0.6195755814069054,2750954.6968897297,0.5595995246654105,883.2489471435547
15,126613840.00951952,98954560.82347727,78.15461628526339,98954560.82347727,219060000.0,1.2447100646390932,0.37137113572866687,0.608637823404813,2750998.1125456826,0.5577532033626177,1024.506049156189
16,127678841.4386594,98707145.06713495,77.30892914982842,98707145.06713495,219060000.00000006,1.246784928213954,0.3735479642785226,0.6106432837421808,2750930.230916811,0.6041820324256238,1315.3735189437866
17,134729643.39275163,106734995.01967318,79.221611764034,106734995.01967318,220860590.3088456,1.195974763380041,0.4560327771460871,0.662891531626727,2797772.87566306,0.6240598966259744,1201.4976832866669
18,123446278.08981796,95414616.8549283,77.29242090677357,95414616.8549283,219108369.61561564,1.2713477854393667,0.33979645890751825,0.5919162279134208,2752184.7637144206,0.5734268443253956,319.6223976612091
