average,totals,averages,balance,fuel_emissions_intensity
0.07258243318248292,"{'buying': 24870.437543651264, 'selling': 97336.3275985435, 'baseload_ppa': 31878.2046537465}","{'buying': 0.04247181632292687, 'selling': 0.07644764430420024}",-40587.68540114574,-0.06398925653273578
0.07112158856771687,"{'buying': 25636.624174303834, 'selling': 98292.61481786125, 'baseload_ppa': 31236.60169894125}","{'buying': 0.04345045008872194, 'selling': 0.07542828880670596}",-41419.38894461616,-0.06543899696095534
0.0736767149459036,"{'buying': 25441.77081590553, 'selling': 101815.96215517183, 'baseload_ppa': 32358.813204240858}","{'buying': 0.0439248389498874, 'selling': 0.07679837304244265}",-44015.37813502544,-0.07208965787192519
0.07086187084409125,"{'buying': 25303.650699844795, 'selling': 99379.58849432645, 'baseload_ppa': 31122.533674724877}","{'buying': 0.04254468252396058, 'selling': 0.0737867131343585}",-42953.404119756786,-0.06936501798503043
0.07461239138864742,"{'buying': 26658.285664823226, 'selling': 104114.49322096219, 'baseload_ppa': 32769.76229789395}","{'buying': 0.04693677036796406, 'selling': 0.07785988247509397}",-44686.44525824502,-0.0745469179448384
0.07006653639698199,"{'buying': 29314.043078378752, 'selling': 99702.98478199224, 'baseload_ppa': 30773.222785554488}","{'buying': 0.04385259423777457, 'selling': 0.07480917634976109}",-39615.71891805901,-0.058715308222864096
0.07268178657122748,"{'buying': 25065.647305548348, 'selling': 104513.0255596741, 'baseload_ppa': 31921.84066208311}","{'buying': 0.042925489706385773, 'selling': 0.077330710529223}",-47525.537592042645,-0.07723187331185263
0.07379678656471203,"{'buying': 26460.5502260394, 'selling': 106049.34316516423, 'baseload_ppa': 32411.548659221524}","{'buying': 0.044645712244717264, 'selling': 0.07773337822008695}",-47177.24427990331,-0.07723237196226866
0.07473895914216154,"{'buying': 25546.7029650052, 'selling': 101787.03744026976, 'baseload_ppa': 32825.350855237346}","{'buying': 0.04706554782751036, 'selling': 0.07724337693244328}",-43414.98362002722,-0.072479104540947
0.07078467656348167,"{'buying': 23247.71397518031, 'selling': 98011.44205336485, 'baseload_ppa': 31088.62994668115}","{'buying': 0.04045876174561401, 'selling': 0.07538716523521319}",-43675.098131503386,-0.06932872558918597
0.07294789060781186,"{'buying': 26156.094750213477, 'selling': 104046.40502019583, 'baseload_ppa': 32038.71355495097}","{'buying': 0.046055278363311226, 'selling': 0.07608906765370192}",-45851.59671503138,-0.07654690603511084
0.07473706727237782,"{'buying': 28220.929304841127, 'selling': 108823.01740732387, 'baseload_ppa': 32824.51994602834}","{'buying': 0.04723601323662452, 'selling': 0.07771532397234573}",-47777.56815645441,-0.07976221728957332
0.0766373305627149,"{'buying': 27471.65985498568, 'selling': 105349.54970236558, 'baseload_ppa': 33659.11558314439}","{'buying': 0.04761787008263978, 'selling': 0.07991789174621947}",-44218.77426423551,-0.07226367621947412
0.07189604049126185,"{'buying': 26705.44707890898, 'selling': 99291.60457826349, 'baseload_ppa': 31576.740983762204}","{'buying': 0.04441716150853114, 'selling': 0.07653081691026876}",-41009.41651559231,-0.06397808713849519
0.07563997542255377,"{'buying': 26769.368202040154, 'selling': 102881.43488850167, 'baseload_ppa': 33221.077205585614}","{'buying': 0.04615453127349549, 'selling': 0.0787015509297794}",-42890.9894808759,-0.07157793044454112
0.07296939818097736,"{'buying': 24091.975975466812, 'selling': 103387.00781148308, 'baseload_ppa': 32048.159681085257}","{'buying': 0.044303836286898844, 'selling': 0.07695419565487299}",-47246.872154931014,-0.07869026916697212
0.07259067346469597,"{'buying': 24296.82195720131, 'selling': 102959.34195871532, 'baseload_ppa': 31881.82378569447}","{'buying': 0.04294674116313524, 'selling': 0.07563446090310674}",-46780.69621581954,-0.07780381703689199
0.06938381287185001,"{'buying': 26512.381837205336, 'selling': 98809.07035572556, 'baseload_ppa': 30473.370613316525}","{'buying': 0.04271804886035199, 'selling': 0.07345352194302582}",-41823.3179052037,-0.06440769551711494
0.072979536535787,"{'buying': 25886.202392805484, 'selling': 103358.11184268404, 'baseload_ppa': 32052.612446517647}","{'buying': 0.04597794211447523, 'selling': 0.07613523366273102}",-45419.29700336091,-0.0756671620866545
0.0722634120326946,"{'buying': 23349.206773436774, 'selling': 103016.0932037583, 'baseload_ppa': 31738.090564759466}","{'buying': 0.0426601312242445, 'selling': 0.07557151873011356}",-47928.79586556206,-0.08001468424968626
